1.21667	17
1.23333	16
1.25	15
1.26667	19
1.28333	18
1.3	17
1.31667	20
1.33333	19
1.35	18
1.36667	22
1.38333	21
1.4	20
1.41667	23
1.43333	22
1.45	21
1.46667	25
1.48333	24
1.5	23
1.51667	26
1.53333	25
1.55	24
1.56667	28
1.58333	27
1.6	26
1.61667	29
1.63333	28
1.65	27
1.66667	31
1.68333	30
1.7	29
1.71667	30
1.73333	29
1.75	28
1.76667	27
1.78333	26
1.8	25
1.81667	24
1.83333	23
1.85	22
1.86667	25
1.88333	24
1.9	23
1.91667	26
1.93333	25
1.95	24
1.96667	28
1.98333	27
2	26
2.01667	29
2.03333	28
2.05	27
2.06667	30
2.08333	29
2.1	28
2.11667	30
2.13333	29
2.15	28
2.16667	27
2.18333	26
2.2	25
2.21667	24
2.23333	23
2.25	22
2.26667	25
2.28333	24
2.3	23
2.31667	26
2.33333	25
2.35	24
2.36667	28
2.38333	27
2.4	26
2.41667	29
2.43333	28
2.45	27
2.46667	31
2.48333	30
2.5	29
2.51667	30
2.53333	29
2.55	28
2.56667	27
2.58333	26
2.6	25
2.61667	24
2.63333	23
2.65	22
2.66667	25
2.68333	24
2.7	23
2.71667	26
2.73333	25
2.75	24
2.76667	28
2.78333	27
2.8	26
2.81667	29
2.83333	28
2.85	27
2.86667	31
2.88333	30
2.9	29
2.91667	30
2.93333	29
2.95	28
2.96667	27
2.98333	26
3	25
3.01667	24
3.03333	23
3.05	22
3.06667	25
3.08333	24
3.1	23
3.11667	26
3.13333	25
3.15	24
3.16667	28
3.18333	27
3.2	26
3.21667	29
3.23333	28
3.25	27
3.26667	30
3.28333	29
3.3	28
3.31667	30
3.33333	29
3.35	28
3.36667	27
3.38333	26
3.4	25
3.41667	24
3.43333	23
3.45	22
3.46667	25
3.48333	24
3.5	23
3.51667	26
3.53333	25
3.55	24
3.56667	28
3.58333	27
3.6	26
3.61667	29
3.63333	28
3.65	27
3.66667	31
3.68333	30
3.7	29
3.71667	30
3.73333	29
3.75	28
3.76667	27
3.78333	26
3.8	25
3.81667	24
3.83333	23
3.85	22
3.86667	25
3.88333	24
3.9	23
3.91667	26
3.93333	25
3.95	24
3.96667	28
3.98333	27
4	26
4.01667	29
4.03333	28
4.05	27
4.06667	30
4.08333	29
4.1	28
4.11667	30
4.13333	29
4.15	28
4.16667	27
4.18333	26
4.2	25
4.21667	24
4.23333	23
4.25	22
4.26667	25
4.28333	24
4.3	23
